elem_id,ref,type
plt.title,mpl.text.Text,property_as_keyword
plt.stack_plot,plt.fill_between,keyword_as_keyword
mpl.text.Text.set_bbox,mpl.patches.FancyBboxPatch,property_as_keyword
mpl.text.Text.set_bbox,mpl.patches.Patch,property_as_keyword
plt.annotate@arrowprops,mpl.patches.FancyArrowPatch,property_as_keyword
plt.annotate@arrowprops,mpl.patches.Patch,property_as_keyword
plt.annotate@arrowprops,mpl.lines.Line2D,property_as_keyword
plt.annotate,mpl.text.Text,property_as_keyword
plt.bar@error_kw,plt.errorbar,keyword_as_keyword
plt.boxplot@boxprops,mpl.lines.Line2D,property_as_keyword
plt.boxplot@capprops,mpl.lines.Line2D,property_as_keyword
plt.boxplot@flierprops,mpl.lines.Line2D,property_as_keyword
plt.boxplot@medianprops,mpl.lines.Line2D,property_as_keyword
plt.boxplot@whiskerprops,mpl.lines.Line2D,property_as_keyword
plt.figtext,mpl.text.Text,property_as_keyword
plt.gca.text2D,mpl.text.Text,property_as_keyword
plt.legend.set_title@prop,mpl.font_manager.FontProperties,property_as_keyword
plt.legend@prop,mpl.font_manager.FontProperties,property_as_keyword
plt.pie@textprops,mpl.text.Text,property_as_keyword
plt.pie@wedgeprops,mpl.patches.Patch,property_as_keyword
plt.quiverkey@fontproperties,mpl.font_manager.FontProperties,property_as_keyword
plt.text,mpl.text.Text,property_as_keyword
plt.xlabel@fontdict,mpl.text.Text,property_as_keyword
plt.ylabel@fontdict,mpl.text.Text,property_as_keyword
plt.title@fontdict,mpl.text.Text,property_as_keyword
