elem_id,name,full_name,type,parent_id,rtype,count,utter,utter_expand
mpl.collections.PatchCollection.add_callback@id,id,matplotlib.collections.PatchCollection.add_callback@id,arg,mpl.collections.PatchCollection.add_callback,,0,returns an id that is useful for removing the callback with remove_callback ( ) later,returns an id that is useful for removing the callback with remove_callback ( ) later .
ax.set_xticklabels@rasterized,rasterized,matplotlib.axes.Axes.set_xticklabels@rasterized,arg,ax.set_xticklabels,,0,force rasterized ( bitmap ) drawing in vector backend output .,force rasterized ( bitmap ) drawing in vector backend output .
ax.csd@markevery,markevery,matplotlib.axes.Axes.csd@markevery,arg,ax.csd,,0,set the markevery property to subsample the plot when using markers .,set the markevery property to subsample the plot when using markers .
plt.contourf.collections.append,append,matplotlib.pyplot.contourf.collections.append,func,plt.contourf.collections,,3,,
plt.colorbar.ax.get_xlim,get_xlim,matplotlib.pyplot.colorbar.ax.get_xlim,func,plt.colorbar.ax,,10,,
ax.imshow@interpolation,interpolation,matplotlib.axes.Axes.imshow@interpolation,arg,ax.imshow,,0,"acceptable values are ' none ' , ' nearest ' , ' bilinear ' ,","acceptable values are ' none ' , ' nearest ' , ' bilinear ' , ' bicubic ' , ' spline16 ' , ' spline36 ' , ' hanning ' , ' hamming ' , ' hermite ' , ' kaiser ' , ' quadric ' , ' catrom ' , ' gaussian ' , ' bessel ' , ' mitchell ' , ' sinc ' , ' lanczos '"
plt.gca.format_coord@0,0,matplotlib.axes.Axes.format_coord@0,arg,plt.gca.format_coord,,4,,
plt.gca.format_coord@1,1,matplotlib.axes.Axes.format_coord@1,arg,plt.gca.format_coord,,4,,
plt.gca.get_yticklabels.set_verticalalignment@0,0,matplotlib.axes.Axes.get_yticklabels.set_verticalalignment@0,arg,plt.gca.get_yticklabels.set_verticalalignment,,2,,
mpl.collections.StarPolygonCollection.set_path_effects,set_path_effects,matplotlib.collections.StarPolygonCollection.set_path_effects,func,mpl.collections.StarPolygonCollection,,0,"set path_effects , which should be a list of instances of matplotlib.patheffect._base class or its","set path_effects , which should be a list of instances of matplotlib.patheffect._base class or its derivatives ."
mpl.collections.RegularPolyCollection.set_visible,set_visible,matplotlib.collections.RegularPolyCollection.set_visible,func,mpl.collections.RegularPolyCollection,,0,set the artist 's visiblity .,set the artist 's visiblity .
plt.gca.spines.axis.reset_ticks,reset_ticks,matplotlib.axes.Axes.spines.axis.reset_ticks,func,plt.gca.spines.axis,,1,,
plt.plot.rstrip.strip.replace@1,1,matplotlib.pyplot.plot.rstrip.strip.replace@1,arg,plt.plot.rstrip.strip.replace,,1,,
plt.draw_all,draw_all,matplotlib.pyplot.draw_all,func,plt,,2,,
ax.set_xticklabels@x,x,matplotlib.axes.Axes.set_xticklabels@x,arg,ax.set_xticklabels,,0,set the x position of the text,set the x position of the text
ax.set_xticklabels@y,y,matplotlib.axes.Axes.set_xticklabels@y,arg,ax.set_xticklabels,,0,set the y position of the text,set the y position of the text
plt.stem@label,label,matplotlib.pyplot.stem@label,arg,plt.stem,,13,,
plt.contour@z2,z2,matplotlib.pyplot.contour@z2,arg,plt.contour,,0,"note : contourf fills intervals that are closed at the top ; that is ,","note : contourf fills intervals that are closed at the top ; that is , for boundaries z1 and z2 , the filled region is :"
plt.gca.get_yticks.tolist@0,0,matplotlib.axes.Axes.get_yticks.tolist@0,arg,plt.gca.get_yticks.tolist,,11,,
plt.gca.xaxis._axinfo,_axinfo,matplotlib.axes.Axes.xaxis._axinfo,func,plt.gca.xaxis,,1,,
mpl.backend_bases.GraphicsContextBase.set_sketch_params@scale,scale,matplotlib.backend_bases.GraphicsContextBase.set_sketch_params@scale,arg,mpl.backend_bases.GraphicsContextBase.set_sketch_params,,0,"the amplitude of the wiggle perpendicular to the source line , in pixels . if","the amplitude of the wiggle perpendicular to the source line , in pixels . if scale is none , or not provided , no sketch filter will be provided ."
mpl.collections.EllipseCollection.get_cmap,get_cmap,matplotlib.collections.EllipseCollection.get_cmap,func,mpl.collections.EllipseCollection,,0,return the colormap,return the colormap
plt.scatter.set_sizes@0,0,matplotlib.pyplot.scatter.set_sizes@0,arg,plt.scatter.set_sizes,,8,,
plt.loglog@markeredgewidth,markeredgewidth,matplotlib.pyplot.loglog@markeredgewidth,arg,plt.loglog,,0,set the marker edge width in points,set the marker edge width in points
mpl.mathtext.Hlist.kern,kern,matplotlib.mathtext.Hlist.kern,func,mpl.mathtext.Hlist,,0,insert kern nodes between char nodes to set kerning .,insert kern nodes between char nodes to set kerning .
ax.table@closed,closed,matplotlib.axes.Axes.table@closed,arg,ax.table,,0,"if codes is none and closed is true , vertices will be treated as line","if codes is none and closed is true , vertices will be treated as line segments of a closed polygon ."
plt.gca.flat.plot@linewidth,linewidth,matplotlib.axes.Axes.flat.plot@linewidth,arg,plt.gca.flat.plot,,2,,
ax.pcolormesh@closed,closed,matplotlib.axes.Axes.pcolormesh@closed,arg,ax.pcolormesh,,0,"if codes is none and closed is true , vertices will be treated as line","if codes is none and closed is true , vertices will be treated as line segments of a closed polygon ."
plt.twiny.imshow@interpolation,interpolation,matplotlib.pyplot.twiny.imshow@interpolation,arg,plt.twiny.imshow,,1,,
mpl.collections.PatchCollection.convert_yunits,convert_yunits,matplotlib.collections.PatchCollection.convert_yunits,func,mpl.collections.PatchCollection,,0,"for artists in an axes , if the yaxis has units support , convert y","for artists in an axes , if the yaxis has units support , convert y using yaxis unit type"
mpl.collections.AsteriskPolygonCollection.have_units@y,y,matplotlib.collections.AsteriskPolygonCollection.have_units@y,arg,mpl.collections.AsteriskPolygonCollection.have_units,,0,return true if units are set on the x or y axes,return true if units are set on the x or y axes
mpl.collections.LineCollection.get_array,get_array,matplotlib.collections.LineCollection.get_array,func,mpl.collections.LineCollection,,0,return the array,return the array
plt.gca.ravel._position.bounds@length,length,matplotlib.axes.Axes.ravel._position.bounds@length,arg,plt.gca.ravel._position.bounds,,1,,
plt.style.library,library,matplotlib.pyplot.style.library,func,plt.style,,6,,
plt.boxplot.axes.patch.set_visible@0,0,matplotlib.pyplot.boxplot.axes.patch.set_visible@0,arg,plt.boxplot.axes.patch.set_visible,,1,,
plt.hexbin@9,9,matplotlib.pyplot.hexbin@9,arg,plt.hexbin,,11,,
