Function,Argument,Utterance
matplotlib.afm.AFM.get_height_char,c,Get the height of character c from the bounding box . This is the ink height ( space is 0 )|||Get the height of character c from the bounding box .
matplotlib.afm.AFM.get_kern_dist,c1,Return the kerning pair distance ( possibly 0 ) for chars c1 and c2|||Return the kerning pair distance ( possibly 0 ) for chars c1
matplotlib.afm.AFM.get_kern_dist,c2,Return the kerning pair distance ( possibly 0 ) for chars c1 and c2|||Return the kerning pair distance ( possibly 0 ) for chars c1
matplotlib.afm.AFM.get_kern_dist_from_name,name1,Return the kerning pair distance ( possibly 0 ) for chars name1 and name2
matplotlib.afm.AFM.get_kern_dist_from_name,name2,Return the kerning pair distance ( possibly 0 ) for chars name1 and name2
matplotlib.afm.AFM.string_width_height,h,"Return the string width ( including kerning ) and string height as a ( w , h ) tuple ."
matplotlib.afm.AFM.string_width_height,w,"Return the string width ( including kerning ) and string height as a ( w , h ) tuple ."
matplotlib.afm.parse_afm,dcmetrics,"Parse the Adobe Font Metics file in file handle fh . Return value is a ( dhead , dcmetrics , dkernpairs , dcomposite ) tuple where dhead is a _ parse_header ( ) dict , dcmetrics is a _ parse_composites ( ) dict , dkernpairs is a _ parse_kern_pairs ( ) dict ( possibly { } ) , and dcomposite is a _ parse_composites ( ) dict ( possibly { } )|||Parse the Adobe Font Metics file in file handle fh ."
matplotlib.afm.parse_afm,dcomposite,"Parse the Adobe Font Metics file in file handle fh . Return value is a ( dhead , dcmetrics , dkernpairs , dcomposite ) tuple where dhead is a _ parse_header ( ) dict , dcmetrics is a _ parse_composites ( ) dict , dkernpairs is a _ parse_kern_pairs ( ) dict ( possibly { } ) , and dcomposite is a _ parse_composites ( ) dict ( possibly { } )|||Parse the Adobe Font Metics file in file handle fh ."
matplotlib.afm.parse_afm,dhead,"Parse the Adobe Font Metics file in file handle fh . Return value is a ( dhead , dcmetrics , dkernpairs , dcomposite ) tuple where dhead is a _ parse_header ( ) dict , dcmetrics is a _ parse_composites ( ) dict , dkernpairs is a _ parse_kern_pairs ( ) dict ( possibly { } ) , and dcomposite is a _ parse_composites ( ) dict ( possibly { } )|||Parse the Adobe Font Metics file in file handle fh ."
matplotlib.afm.parse_afm,dkernpairs,"Parse the Adobe Font Metics file in file handle fh . Return value is a ( dhead , dcmetrics , dkernpairs , dcomposite ) tuple where dhead is a _ parse_header ( ) dict , dcmetrics is a _ parse_composites ( ) dict , dkernpairs is a _ parse_kern_pairs ( ) dict ( possibly { } ) , and dcomposite is a _ parse_composites ( ) dict ( possibly { } )|||Parse the Adobe Font Metics file in file handle fh ."
matplotlib.afm.parse_afm,fh,"Parse the Adobe Font Metics file in file handle fh . Return value is a ( dhead , dcmetrics , dkernpairs , dcomposite ) tuple where dhead is a _ parse_header ( ) dict , dcmetrics is a _ parse_composites ( ) dict , dkernpairs is a _ parse_kern_pairs ( ) dict ( possibly { } ) , and dcomposite is a _ parse_composites ( ) dict ( possibly { } )|||Parse the Adobe Font Metics file in file handle fh ."
matplotlib.animation.Animation.save,bitrate,"bitrate specifies the amount of bits used per second in the compressed movie , in kilobits per second . A higher number means a higher quality movie , but at the cost of increased file size . If no value is given , this defaults to the value given by the rcparam animation.bitrate .|||bitrate specifies the amount of bits used per second in the compressed movie , in kilobits per second ."
matplotlib.animation.Animation.save,codec,"codec is the video codec to be used . Not all codecs are supported by a given MovieWriter . If none is given , this defaults to the value specified by the rcparam animation.codec .|||codec is the video codec to be used ."
matplotlib.animation.Animation.save,dpi,dpi controls the dots per inch for the movie frames .|||dpi controls the dots per inch for the movie frames . This combined with the figure 's size in inches controls the size of the movie .
matplotlib.animation.Animation.save,extra_anim,"extra_anim is a list of additional Animation objects that should be included in the saved movie file .|||extra_anim is a list of additional Animation objects that should be included in the saved movie file . These need to be from the same matplotlib.Figure instance . Also , animation frames will just be simply combined , so there should be a 1:1 correspondence between the frames from the different animations ."
matplotlib.animation.Animation.save,extra_args,"extra_args is a list of extra string arguments to be passed to the underlying movie utiltiy . The default is None , which passes the additional argurments in the ' animation.extra_args ' rcParam .|||extra_args is a list of extra string arguments to be passed to the underlying movie utiltiy ."
matplotlib.animation.Animation.save,filename,"filename is the output filename , e.g. , mymovie.mp4"
matplotlib.animation.Animation.save,fps,"fps is the frames per second in the movie .|||fps is the frames per second in the movie . Defaults to None , which will use the animation 's specified interval to set the frames per second ."
matplotlib.animation.Animation.save,metadata,"metadata is a dictionary of keys and values for metadata to include in the output file .|||metadata is a dictionary of keys and values for metadata to include in the output file . Some keys that may be of use include : title , artist , genre , subject , copyright , srcform , comment ."
matplotlib.animation.Animation.save,writer,"writer is either an instance of MovieWriter or a string key that identifies a class to use , such as ' ffmpeg ' or ' mencoder ' . If nothing is passed , the value of the rcparam animation.writer is used .|||writer is either an instance of MovieWriter or a string key that identifies a class to use , such as ' ffmpeg ' or ' mencoder ' ."
matplotlib.artist.Artist.add_callback,contains,Replace the contains test used by this artist .
matplotlib.artist.Artist.add_callback,id,Returns an id that is useful for removing the callback with remove_callback ( ) later .
matplotlib.artist.Artist.add_callback,label,Set the label to s for auto legend .
matplotlib.artist.Artist.add_callback,picker,Set the epsilon for picking used by this artist
matplotlib.artist.Artist.add_callback,sketch_params,Sets the sketch parameters .
matplotlib.artist.Artist.convert_xunits,x,"For artists in an axes , if the xaxis has units support , convert x using xaxis unit type"
matplotlib.artist.Artist.convert_yunits,y,"For artists in an axes , if the yaxis has units support , convert y using yaxis unit type"
matplotlib.artist.Artist.findobj,include_self,"If include_self is True ( default ) , include self in the list to be checked for a match ."
matplotlib.artist.Artist.findobj,match,match can be
matplotlib.artist.Artist.format_cursor_data,cursor data,Return cursor data string formatted .
matplotlib.artist.Artist.have_units,x,Return True if units are set on the x or y axes
matplotlib.artist.Artist.have_units,y,Return True if units are set on the x or y axes
matplotlib.artist.Artist.hitlist,event,List the children of the artist which contain the mouse event event .
matplotlib.artist.Artist.pick,mouseevent,each child artist will fire a pick event if mouseevent is over the artist and the artist has picker set
matplotlib.artist.Artist.remove,autolim,Note : relim ( ) will not see collections even if the collection was added to axes with autolim = True .
matplotlib.artist.Artist.remove_callback,id,Remove a callback based on its id .
matplotlib.artist.Artist.set_contains,hit,"If the mouse event is over the artist , return hit = True and props is a dictionary of properties you want returned with the contains test .|||If the mouse event is over the artist , return hit = True"
matplotlib.artist.Artist.set_contains,props,"If the mouse event is over the artist , return hit = True and props is a dictionary of properties you want returned with the contains test .|||If the mouse event is over the artist , return hit = True"
