Function,Utterance
matplotlib.afm.AFM.get_angle,Return the fontangle as float
matplotlib.afm.AFM.get_capheight,Return the cap height as float
matplotlib.afm.AFM.get_familyname,"Return the font family name , e.g. , ' Times '"
matplotlib.afm.AFM.get_fontname,"Return the font name , e.g. , ' Times-Roman '"
matplotlib.afm.AFM.get_fullname,"Return the font full name , e.g. , ' Times-Roman '"
matplotlib.afm.AFM.get_height_char,Get the height of character c from the bounding box .
matplotlib.afm.AFM.get_horizontal_stem_width,"Return the standard horizontal stem width as float , or None if not specified in AFM file ."
matplotlib.afm.AFM.get_kern_dist,Return the kerning pair distance ( possibly 0 ) for chars c1 and c2
matplotlib.afm.AFM.get_kern_dist_from_name,Return the kerning pair distance ( possibly 0 ) for chars name1 and name2
matplotlib.afm.AFM.get_name_char,"Get the name of the character , i.e. , ' ; ' is ' semicolon '"
matplotlib.afm.AFM.get_str_bbox,Return the string bounding box
matplotlib.afm.AFM.get_str_bbox_and_descent,Return the string bounding box
matplotlib.afm.AFM.get_underline_thickness,Return the underline thickness as float
matplotlib.afm.AFM.get_vertical_stem_width,"Return the standard vertical stem width as float , or None if not specified in AFM file ."
matplotlib.afm.AFM.get_weight,"Return the font weight , e.g. , ' Bold ' or ' Roman '"
matplotlib.afm.AFM.get_width_char,Get the width of the character from the character metric WX field
matplotlib.afm.AFM.get_width_from_char_name,Get the width of the character from a type1 character name
matplotlib.afm.AFM.get_xheight,Return the xheight as float
matplotlib.afm.AFM.string_width_height,"Return the string width ( including kerning ) and string height as a ( w , h ) tuple ."
matplotlib.afm.parse_afm,Parse the Adobe Font Metics file in file handle fh .
matplotlib.animation.Animation.new_frame_seq,Creates a new sequence of frame information .
matplotlib.animation.Animation.new_saved_frame_seq,Creates a new sequence of saved/cached frame information .
matplotlib.animation.Animation.save,Saves a movie file by drawing every frame .
matplotlib.animation.Animation.to_html5_video,Returns animation as an HTML5 video tag .
matplotlib.animation.FileMovieWriter.grab_frame,Grab the image information from the figure and save as a movie frame .
matplotlib.animation.FileMovieWriter.setup,Perform setup for writing the movie file .
matplotlib.animation.MovieWriter.cleanup,Clean-up and collect the process used to write the movie file .
matplotlib.animation.MovieWriter.finish,Finish any processing for writing the movie .
matplotlib.animation.MovieWriter.grab_frame,Grab the image information from the figure and save as a movie frame .
matplotlib.animation.MovieWriter.saving,Context manager to facilitate writing the movie file .
